epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2742.38,0.69759,0.51438,0.98712,0.94315,0.87796,0.94108,0.81171,0.60024,0.37242,0.88361,2.94644e-05,2.94644e-05,2.94644e-05
40,2812.65,0.65672,0.48278,0.98184,0.94282,0.87576,0.94123,0.81256,0.5966,0.36886,0.88152,2.71082e-05,2.71082e-05,2.71082e-05
41,2883.53,0.6222,0.42674,0.90157,0.94303,0.87589,0.94233,0.8123,0.59406,0.36473,0.87951,2.4752e-05,2.4752e-05,2.4752e-05
42,2952.4,0.61342,0.40861,0.92107,0.9337,0.88124,0.94286,0.81485,0.59068,0.36148,0.87802,2.23958e-05,2.23958e-05,2.23958e-05
43,3022.75,0.64048,0.41899,0.93435,0.92659,0.88778,0.94393,0.81778,0.58907,0.36068,0.87682,2.00396e-05,2.00396e-05,2.00396e-05
44,3092.84,0.60518,0.3906,0.91619,0.9292,0.88615,0.94452,0.8179,0.58803,0.35982,0.876,1.76834e-05,1.76834e-05,1.76834e-05
45,3162.25,0.62929,0.41193,0.91393,0.93002,0.88552,0.94464,0.81754,0.5871,0.3588,0.87562,1.53272e-05,1.53272e-05,1.53272e-05
46,3231.49,0.63118,0.40956,0.92381,0.92836,0.88842,0.9445,0.81894,0.58583,0.35881,0.8749,1.2971e-05,1.2971e-05,1.2971e-05
47,3301.36,0.62307,0.39532,0.91439,0.93357,0.88636,0.94469,0.81884,0.58436,0.35918,0.87429,1.06148e-05,1.06148e-05,1.06148e-05
48,3370.06,0.60237,0.38877,0.91529,0.93014,0.88927,0.94431,0.81913,0.58303,0.35892,0.87366,8.2586e-06,8.2586e-06,8.2586e-06
49,3439.98,0.61637,0.40691,0.91897,0.92793,0.89055,0.94417,0.81898,0.58158,0.35823,0.87316,5.9024e-06,5.9024e-06,5.9024e-06
50,3509.03,0.58215,0.37323,0.90915,0.92777,0.88991,0.94429,0.81978,0.58099,0.35796,0.87277,3.5462e-06,3.5462e-06,3.5462e-06
